# ArrowInput TSV dictionary
# UTF-8 TSV: code	text	comment	weight	user_weight
ling	〇	ling		
zhi	ㄓ	zhi		
chi	ㄔ	chi		
shi	ㄕ	shi		
ri	ㄖ	ri		
zi	ㄗ	zi		
ci	ㄘ	ci		
si	ㄙ	si		
a	ㄚ	a		
o	ㄛ	o		
e	ㄜ	e		
eh	ㄝ	eh		
ai	ㄞ	ai		
ei	ㄟ	ei		
ao	ㄠ	ao		
ou	ㄡ	ou		
an	ㄢ	an		
en	ㄣ	en		
ang	ㄤ	ang		
eng	ㄥ	eng		
er	ㄦ	er		
yi	ㄧ	yi		
wu	ㄨ	wu		
yu	ㄩ	yu		
qiu	㐀	qiu		
tian	㐁	tian		
kua	㐄	kua		
wu	㐅	wu		
yin	㐆	yin		
ta	㐌	ta		
ye	㐖	ye		
chou	㐜	chou		
nuo	㐡	nuo		
ru	㐡	ru		
dan	㐤	dan		
qiu	㐤	qiu		
xu	㐨	xu		
xing	㐩	xing		
xiong	㐫	xiong		
liu	㐬	liu		
lin	㐭	lin		
xiang	㐮	xiang		
yong	㐯	yong		
xin	㐰	xin		
zhen	㐱	zhen		
dai	㐲	dai		
wu	㐳	wu		
pan	㐴	pan		
ma	㐷	ma		
ci	㐸	ci		
qian	㐸	qian		
qi	㐹	qi		
yi	㐹	yi		
yin	㐺	yin		
zhong	㐺	zhong		
nei	㐻	nei		
cheng	㐼	cheng		
feng	㐽	feng		
zhuo	㑁	zhuo		
fang	㑂	fang		
ao	㑃	ao		
wu	㑄	wu		
zuo	㑅	zuo		
zhou	㑇	zhou		
dong	㑈	dong		
su	㑉	su		
yi	㑊	yi		
qiong	㑋	qiong		
kuang	㑌	kuang		
lei	㑍	lei		
nao	㑎	nao		
zhu	㑏	zhu		
shu	㑐	shu		
za	㑑	za		
zan	㑑	zan		
xu	㑔	xu		
shen	㑗	shen		
jie	㑘	jie		
die	㑙	die		
nuo	㑚	nuo		
su	㑛	su		
chi	㑜	chi		
